brand,category,price,sale_price,rating,review_count,description,website,date_collected,attributes,brand_type,on_sale,discount_pct,price_category
Grove Collaborative,kitchen,25.8,25.8,4.3,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Attitude,laundry,14.32,10.58,4.8,194.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,26.12,mid ($10-25)
Seventh Generation,bath,27.11,27.11,4.3,355.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Mrs. Meyer's,laundry,18.03,18.03,4.0,312.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Earth Breeze,kitchen,15.09,,4.5,29.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Attitude,cleaning,21.5,21.5,4.1,82.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Mrs. Meyer's,cleaning,19.41,14.29,3.8,344.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,26.38,mid ($10-25)
Well Earth Goods,cleaning,6.65,6.65,4.2,111.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,budget (<$10)
EcoRoots,laundry,26.54,26.54,4.6,468.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Mrs. Meyer's,bath,7.39,7.39,4.9,285.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,budget (<$10)
Earth Breeze,kitchen,34.0,24.52,,463.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,27.88,premium ($25-50)
Who Gives A Crap,cleaning,19.21,15.43,4.2,235.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,19.68,mid ($10-25)
Well Earth Goods,kitchen,19.41,19.41,4.2,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Package Free,kitchen,17.65,17.65,4.0,110.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EarthHero,bath,17.34,15.32,4.3,321.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,11.65,mid ($10-25)
Method,cleaning,17.96,17.96,3.9,475.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
EcoRoots,cleaning,10.16,10.16,3.9,340.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Bambo Nature,cleaning,15.06,15.06,4.2,313.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Who Gives A Crap,kitchen,22.03,22.03,4.7,293.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
ECOS,laundry,20.18,16.41,4.7,108.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,True,18.68,mid ($10-25)
The Good Fill,laundry,14.6,14.6,4.4,247.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Grove Collaborative,cleaning,22.13,22.13,,34.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Package Free,laundry,32.56,23.02,4.4,33.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,29.3,premium ($25-50)
Grove Collaborative,cleaning,8.4,,4.7,451.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Attitude,bath,10.5,7.39,4.6,426.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,29.62,mid ($10-25)
Bambo Nature,kitchen,14.02,10.36,,455.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,26.11,mid ($10-25)
EcoRoots,laundry,24.07,24.07,4.2,116.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Earth Breeze,cleaning,7.77,6.99,3.9,485.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,10.04,budget (<$10)
Grove Collaborative,laundry,29.08,29.08,4.7,7.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
EarthHero,laundry,23.4,23.4,3.9,14.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Who Gives A Crap,laundry,11.34,,4.4,170.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Bambo Nature,bath,27.74,23.09,4.5,201.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,16.76,premium ($25-50)
Method,bath,16.02,16.02,3.9,56.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Method,bath,9.27,7.15,4.6,365.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,22.87,budget (<$10)
Bambo Nature,cleaning,13.36,,4.9,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Seventh Generation,laundry,33.59,33.59,4.0,145.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Attitude,kitchen,29.1,25.46,4.7,225.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,12.51,premium ($25-50)
Method,bath,19.31,19.31,4.3,378.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Well Earth Goods,laundry,10.95,,4.3,19.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Well Earth Goods,laundry,21.94,19.31,3.9,22.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,11.99,mid ($10-25)
Seventh Generation,kitchen,29.15,29.15,,371.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Earth Breeze,laundry,15.05,15.05,4.3,134.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Grove Collaborative,laundry,19.22,19.22,4.7,136.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Well Earth Goods,laundry,39.78,39.78,4.3,243.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,premium ($25-50)
Attitude,cleaning,20.89,20.89,4.5,415.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
EcoRoots,laundry,29.85,,4.2,197.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Bambo Nature,bath,10.63,,4.4,419.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Method,cleaning,19.8,14.61,4.6,208.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,26.21,mid ($10-25)
Well Earth Goods,laundry,14.24,14.24,4.4,259.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Attitude,bath,15.33,15.33,,97.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Package Free,cleaning,9.19,9.19,3.8,331.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Who Gives A Crap,laundry,17.17,15.24,4.4,159.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,11.24,mid ($10-25)
Earth Breeze,bath,29.57,29.57,4.6,179.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
EcoRoots,kitchen,27.56,27.56,4.4,276.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Who Gives A Crap,cleaning,16.72,16.72,4.6,227.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Earth Breeze,laundry,28.36,22.63,4.8,228.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,20.2,premium ($25-50)
Seventh Generation,bath,6.43,4.93,4.4,362.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,23.33,budget (<$10)
ECOS,cleaning,20.98,20.98,4.8,163.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,False,0.0,mid ($10-25)
Who Gives A Crap,kitchen,16.34,16.34,4.1,476.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
EcoRoots,kitchen,25.11,25.11,,,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
ECOS,kitchen,32.0,,,256.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,False,0.0,premium ($25-50)
Grove Collaborative,cleaning,9.41,7.6,4.5,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,19.23,budget (<$10)
Grove Collaborative,kitchen,23.11,23.11,4.3,10.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Package Free,laundry,39.76,,4.0,136.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Mrs. Meyer's,kitchen,14.37,,4.4,23.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Who Gives A Crap,laundry,15.29,13.53,4.0,43.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,11.51,mid ($10-25)
Seventh Generation,laundry,12.05,9.42,4.4,132.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,True,21.83,mid ($10-25)
EarthHero,bath,28.5,28.5,3.9,279.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Blueland,kitchen,30.92,30.92,4.5,188.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Mrs. Meyer's,bath,25.76,22.97,,220.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,True,10.83,premium ($25-50)
Bambo Nature,bath,13.83,13.83,4.0,182.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Earth Breeze,kitchen,12.54,12.54,4.8,189.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Method,bath,6.69,6.69,4.6,447.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,budget (<$10)
Seventh Generation,cleaning,12.32,,4.6,97.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
EarthHero,kitchen,28.65,28.65,4.0,276.0,Eco-friendly kitchen product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,premium ($25-50)
Mrs. Meyer's,cleaning,11.38,11.38,4.2,452.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Method,laundry,19.62,19.62,4.9,464.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Attitude,laundry,39.24,39.24,4.7,242.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,premium ($25-50)
ECOS,cleaning,24.38,24.38,4.8,293.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,False,0.0,mid ($10-25)
Grove Collaborative,bath,18.02,18.02,4.2,164.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Package Free,cleaning,12.95,12.95,4.9,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
ECOS,cleaning,20.29,20.29,4.0,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",eco-focused,False,0.0,mid ($10-25)
Method,bath,23.14,23.14,3.9,,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",conventional,False,0.0,mid ($10-25)
Earth Breeze,cleaning,24.75,20.72,3.9,356.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,16.28,mid ($10-25)
EcoRoots,cleaning,20.18,20.18,4.7,314.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Earth Breeze,cleaning,20.61,20.61,4.1,85.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,mid ($10-25)
Public Goods,bath,6.02,6.02,4.4,64.0,Eco-friendly bath product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Seventh Generation,laundry,19.01,19.01,4.7,100.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Seventh Generation,cleaning,15.67,15.67,4.7,463.0,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
Grove Collaborative,cleaning,6.64,6.64,4.9,,Eco-friendly cleaning product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,False,0.0,budget (<$10)
Grove Collaborative,laundry,23.22,17.13,,358.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",established,True,26.23,mid ($10-25)
Well Earth Goods,laundry,20.18,20.18,4.4,171.0,Eco-friendly laundry product made from sustainable materials,Amazon,2026-02-10,"eco_friendly, sustainable",emerging,False,0.0,mid ($10-25)
